"is_canceled.cancelled","is_canceled.notcancelled","hotelResort.Hotel","lead_time","arrival_date_year2016","arrival_date_year2017","stays_in_weekend_nights","stays_in_week_nights","adults","children","market_segmentComplementary","market_segmentCorporate","market_segmentDirect","market_segmentGroups","market_segmentOffline.TA.TO","market_segmentOnline.TA","market_segmentUndefined","previous_cancellations","previous_bookings_not_canceled","booking_changes","deposit_typeNon.Refund","deposit_typeRefundable","days_in_waiting_list","customer_typeGroup","customer_typeTransient","customer_typeTransient.Party","adr","required_car_parking_spaces","total_of_special_requests","is_reserved_roomReserved.room","arrival_seasonSpring","arrival_seasonSummer","arrival_seasonWinter","total_length_of_stay","total_booking","case_holdoutprob$cancelled"
0,0,1,14,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,98,0,1,0,0,1,0,2,0,0.033944770693779
0,0,1,85,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,82,0,1,0,0,1,0,3,0,0.0108218528330326
0,0,1,18,0,0,0,4,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,154.77,0,1,0,0,1,0,4,0,0.0327343456447124
0,0,1,72,0,0,2,4,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,99.67,0,1,0,0,1,0,6,0,0.0313699096441269
0,0,1,45,0,0,2,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,79.5,0,0,0,0,1,0,5,0,0.0112993838265538
0,0,1,107,0,0,2,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,110.7,0,2,0,0,1,0,7,0,0.0308057032525539
0,0,1,364,0,0,3,7,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,55.68,0,0,0,0,1,0,10,0,0.233014866709709
0,0,1,324,0,0,4,10,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,134.73,0,0,0,0,1,0,14,0,0.0240687076002359
0,0,1,36,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,123,0,0,0,0,1,0,1,0,0.044312309473753
0,0,1,100,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,73.8,1,1,0,0,1,0,2,0,0.000144418416311964
0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,80.1,0,0,0,0,1,0,1,0,0.0372319146990776
0,0,1,2,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,98,0,0,0,0,1,0,1,0,0.0821959003806114
0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,109.8,0,3,0,0,1,0,1,0,0.100666984915733
0,0,1,1,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,131,1,1,0,0,1,0,4,0,0.000435081514297053
0,0,1,68,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,124,1,1,0,0,1,0,2,0,0.000313651748001575
0,0,1,12,0,0,0,2,2,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,146,1,0,0,0,1,0,2,0,7.08400257281028e-05
0,0,1,77,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,97,0,0,0,0,1,0,3,0,0.0231145806610584
0,0,1,17,0,0,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,105.08,0,0,0,0,1,0,4,0,0.0108507517725229
0,0,1,31,0,0,2,5,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,161,1,1,0,0,1,0,7,0,0.000151402273331769
0,0,1,86,0,0,3,7,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,112.2,0,0,0,0,1,0,10,0,0.031609058380127
0,0,1,70,0,0,2,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,99.5,1,2,0,0,1,0,6,0,0.000161978605319746
0,0,1,33,0,0,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,89.97,0,1,0,0,1,0,4,0,0.0236741863191128
0,0,1,48,0,0,2,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,123,0,1,0,0,1,0,7,0,0.0296910833567381
0,0,1,97,0,0,3,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,126,0,1,0,0,1,0,8,0,0.031992994248867
0,0,1,8,0,0,2,3,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,196,0,1,0,0,1,0,5,0,0.0112494016066194
0,0,1,60,0,0,1,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,79.5,0,0,0,0,1,0,5,0,0.0305701363831758
0,0,1,115,0,0,2,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,119.7,0,2,0,0,1,0,7,0,0.0398459434509277
0,0,1,112,0,0,2,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,65.7,0,1,0,0,1,0,7,0,0.0784780085086823
0,0,1,37,0,0,2,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,106.9,0,0,0,0,1,0,6,0,0.0128156151622534
0,0,1,58,0,0,2,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,131.86,0,0,0,0,1,0,7,0,0.0211060624569654
0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,144.5,0,0,0,0,1,0,2,0,0.136008709669113
0,0,1,2,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,112,0,0,0,0,1,0,2,0,0.140077590942383
0,0,1,64,0,0,2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,84.8,0,1,0,0,1,0,5,0,0.0431721843779087
0,0,1,90,0,0,2,5,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,132.3,0,3,0,0,1,0,7,0,0.0654548704624176
0,0,1,65,0,0,2,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,147,0,2,0,0,1,0,8,0,0.0281972344964743
0,0,1,28,0,0,2,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,98.02,0,1,0,0,1,0,5,0,0.0116085335612297
0,0,1,24,0,0,2,4,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,214,0,0,0,0,1,0,6,0,0.048112265765667
0,0,1,118,0,0,1,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,179.1,0,2,0,0,1,0,3,0,0.0222480073571205
0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.00187955761794001
0,0,1,82,0,0,2,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,152.43,0,3,0,0,1,0,7,0,0.0316245630383492
0,0,1,39,0,0,3,7,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,141.6,0,1,0,0,1,0,10,0,0.0495997443795204
